# Human genome and chromosome size statistics.
# "size_all" refers to total assembled chromosome size, including gaps (which 
# aren't mappable). "size_nogap" refers to size of non-gap regions in chromosome.
# 
# As of 2011-02-03, data are from:
# http://www.ncbi.nlm.nih.gov/projects/genome/assembly/grc/human/data/
# size_all is from the table: "Total Lengths", column: "Placed Scaffolds"
# size_nogap is from the table: "Ungapped Lengths", column: "Placed Scaffolds"
build	chromosome	size_all	size_nogap
b36	chr1	247249719	224999719
b36	chr2	242951149	237712649
b36	chr3	199501827	194704827
b36	chr4	191273063	187297063
b36	chr5	180857866	177702766
b36	chr6	170899992	167273992
b36	chr7	158821424	154952424
b36	chr8	146274826	142612826
b36	chr9	140273252	120143252
b36	chr10	135374737	131624737
b36	chr11	134452384	131130853
b36	chr12	132349534	130303534
b36	chr13	114142980	95559980
b36	chr14	106368585	88290585
b36	chr15	100338915	81341915
b36	chr16	88827254	78884754
b36	chr17	78774742	77800220
b36	chr18	76117153	74656155
b36	chr19	63811651	55785651
b36	chr20	62435964	59505253
b36	chr21	46944323	34171998
b36	chr22	49691432	34851332
b36	chrX	154913754	151058754
b36	chrY	57772954	25652954
b36	chrM	16571	16571
b37	chr1	249250621	225280621
b37	chr2	243199373	238207373
b37	chr3	198022430	194797140
b37	chr4	191154276	187661676
b37	chr5	180915260	177695260
b37	chr6	171115067	167395067
b37	chr7	159138663	155353663
b37	chr8	146364022	142888922
b37	chr9	141213431	120143431
b37	chr10	135534747	131314747
b37	chr11	135006516	131129516
b37	chr12	133851895	130481895
b37	chr13	115169878	95589878
b37	chr14	107349540	88289540
b37	chr15	102531392	81694769
b37	chr16	90354753	78884753
b37	chr17	81195210	77795210
b37	chr18	78077248	74657248
b37	chr19	59128983	55808983
b37	chr20	63025520	59505520
b37	chr21	48129895	35108702
b37	chr22	51304566	34894566
b37	chrX	155270560	151100560
b37	chrY	59373566	25653566
b37	chrM	16569	16569
